TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION
toa payoh,55,lorong 5 toa payoh,310055,1.33736,103.851198,12,boon teck,toa payoh,central region
hougang,442,hougang avenue 8,530442,1.379252,103.893162,4,hougang east,hougang,north-east region
sengkang,212A,compassvale drive,541212,1.386398,103.89996,16,sengkang town centre,sengkang,north-east region
yishun,614,yishun street 61,760614,1.419829,103.836032,13,yishun south,yishun,north region
woodlands,774,woodlands crescent,730774,1.448148,103.799143,14,woodlands east,woodlands,north region
yishun,264,yishun street 22,760264,1.435874,103.838504,12,northland,yishun,north region
jurong west,665B,jurong west street 64,642665,1.339798,103.702944,16,jurong west central,jurong west,west region
jurong west,686A,jurong west central 1,641686,1.341748,103.704794,17,jurong west central,jurong west,west region
yishun,754,yishun street 72,760754,1.426889,103.834067,12,yishun west,yishun,north region
woodlands,145,woodlands street 13,730145,1.436118,103.773245,12,woodlands west,woodlands,north region
kallang/whampoa,5A,upper boon keng road,381005,1.313275,103.873489,25,boon keng,kallang,central region
yishun,504A,yishun street 51,761504,1.418071,103.844083,13,lower seletar,yishun,north region
tampines,293,tampines street 22,520293,1.350391,103.954902,12,tampines east,tampines,east region
tampines,354,tampines street 33,520354,1.354861,103.962499,9,tampines east,tampines,east region
yishun,722,yishun street 71,760722,1.425667,103.829016,10,yishun west,yishun,north region
pasir ris,723,pasir ris street 72,510723,1.380681,103.936596,15,pasir ris west,pasir ris,east region
woodlands,538,woodlands drive 16,730538,1.429431,103.792147,11,woodlands south,woodlands,north region
serangoon,136,serangoon north avenue 2,550136,1.368102,103.874988,13,serangoon garden,serangoon,north-east region
woodlands,784B,woodlands rise,732784,1.445521,103.804854,14,woodlands east,woodlands,north region
yishun,634,yishun street 61,760634,1.41893,103.8391,12,yishun south,yishun,north region
bukit panjang,537,bukit panjang ring road,670537,1.383721,103.763128,24,saujana,bukit panjang,west region
kallang/whampoa,7,boon keng road,330007,1.316789,103.861782,40,bendemeer,kallang,central region
choa chu kang,144,teck whye lane,680144,1.380828,103.752477,16,teck whye,choa chu kang,west region
sengkang,195,rivervale drive,540195,1.392824,103.9024,17,rivervale,sengkang,north-east region
clementi,354,clementi avenue 2,120354,1.313514,103.770861,4,clementi north,clementi,west region
jurong west,987C,jurong west street 93,643987,1.33662,103.695091,18,yunnan,jurong west,west region
woodlands,816,woodlands street 82,730816,1.442027,103.789906,12,midview,woodlands,north region
jurong west,355,kang ching road,610355,1.338573,103.720836,11,taman jurong,jurong west,west region
pasir ris,237,pasir ris street 21,510237,1.374079,103.962868,13,pasir ris drive,pasir ris,east region
jurong east,412,pandan gardens,600412,1.319621,103.747111,15,teban gardens,jurong east,west region
hougang,699,hougang street 52,530699,1.375921,103.88919,18,hougang west,hougang,north-east region
bukit batok,423,bukit batok west avenue 2,650423,1.362157,103.744947,12,hong kah north,bukit batok,west region
ang mo kio,643,ang mo kio avenue 5,560643,1.377506,103.840557,13,yio chu kang west,ang mo kio,north-east region
toa payoh,231,lorong 8 toa payoh,310231,1.33696,103.85949,12,pei chun,toa payoh,central region
yishun,776,yishun avenue 2,760776,1.422559,103.833944,13,khatib,yishun,north region
woodlands,366,woodlands avenue 5,730366,1.433742,103.787382,11,woodgrove,woodlands,north region
yishun,140,yishun ring road,760140,1.431186,103.830601,12,yishun west,yishun,north region
ang mo kio,103,ang mo kio avenue 3,560103,1.371017,103.839305,12,kebun bahru,ang mo kio,north-east region
woodlands,752,woodlands circle,730752,1.445605,103.794909,12,woodlands east,woodlands,north region
yishun,211,yishun street 21,760211,1.431746,103.838296,12,northland,yishun,north region
hougang,698C,hougang street 52,533698,1.375252,103.888186,18,hougang west,hougang,north-east region
choa chu kang,486,choa chu kang avenue 5,680486,1.37545,103.73835,16,peng siang,choa chu kang,west region
pasir ris,574,pasir ris street 53,510574,1.374257,103.946137,17,pasir ris central,pasir ris,east region
serangoon,535,serangoon north avenue 4,550535,1.373806,103.87398,13,serangoon north,serangoon,north-east region
woodlands,659,woodlands ring road,730659,1.435998,103.799066,12,woodlands east,woodlands,north region
bukit merah,57,telok blangah heights,100057,1.274633,103.812587,11,telok blangah drive,bukit merah,central region
ang mo kio,603,ang mo kio avenue 5,560603,1.380201,103.835756,12,yio chu kang west,ang mo kio,north-east region
jurong west,560A,jurong west street 42,641560,1.353358,103.719829,16,hong kah,jurong west,west region
bukit merah,103,henderson crescent,150103,1.289742,103.821376,14,henderson hill,bukit merah,central region
bukit merah,50,moh guan terrace,161050,1.28408,103.830526,4,tiong bahru,bukit merah,central region
toa payoh,20,lorong 7 toa payoh,310020,1.334967,103.857206,11,pei chun,toa payoh,central region
hougang,239,hougang street 22,530239,1.355973,103.890478,13,lorong ah soo,hougang,north-east region
bukit panjang,465,segar road,670465,1.387228,103.77279,15,fajar,bukit panjang,west region
yishun,611,yishun street 61,760611,1.420201,103.836153,13,yishun south,yishun,north region
woodlands,823,woodlands street 82,730823,1.44094,103.789502,11,midview,woodlands,north region
jurong west,156,yung loh road,610156,1.32789,103.721789,15,taman jurong,jurong west,west region
ang mo kio,332,ang mo kio avenue 1,560332,1.36167,103.851955,11,townsville,ang mo kio,north-east region
jurong west,659A,jurong west street 65,641659,1.33685,103.702314,16,jurong west central,jurong west,west region
sengkang,315A,anchorvale road,541315,1.391942,103.889018,16,anchorvale,sengkang,north-east region
bedok,43,chai chee street,461043,1.328347,103.925655,12,kembangan,bedok,east region
sembawang,471,sembawang drive,750471,1.451943,103.815879,15,sembawang north,sembawang,north region
woodlands,757,woodlands avenue 4,730757,1.44621,103.794599,12,woodlands east,woodlands,north region
sembawang,424,canberra road,750424,1.453833,103.818731,14,sembawang north,sembawang,north region
punggol,613D,punggol drive,824613,1.403824,103.908909,17,waterway east,punggol,north-east region
pasir ris,533,pasir ris drive 1,510533,1.370832,103.950888,13,pasir ris central,pasir ris,east region
tampines,412,tampines street 41,520412,1.359425,103.94627,12,tampines east,tampines,east region
tampines,302,tampines street 32,520302,1.352256,103.955225,12,tampines east,tampines,east region
woodlands,649,woodlands ring road,730649,1.438936,103.800962,12,woodlands east,woodlands,north region
woodlands,871,woodlands street 81,730871,1.443858,103.789187,10,midview,woodlands,north region
woodlands,360,woodlands avenue 5,730360,1.434048,103.784501,12,woodgrove,woodlands,north region
punggol,310A,punggol walk,821310,1.408701,103.901327,17,punggol town centre,punggol,north-east region
jurong west,735,jurong west street 75,640735,1.346155,103.701169,12,yunnan,jurong west,west region
yishun,453,yishun street 41,760453,1.41991,103.845555,13,yishun east,yishun,north region
hougang,927,hougang street 91,530927,1.376623,103.880751,15,trafalgar,hougang,north-east region
punggol,614A,edgefield plains,821614,1.403584,103.909264,17,waterway east,punggol,north-east region
jurong east,236,jurong east street 21,600236,1.340407,103.742129,9,yuhua east,jurong east,west region
bedok,91,bedok north street 4,460091,1.332549,103.94037,14,bedok north,bedok,east region
punggol,683B,edgedale plains,822683,1.404701,103.914988,17,waterway east,punggol,north-east region
ang mo kio,411,ang mo kio avenue 10,560411,1.363395,103.855273,12,chong boon,ang mo kio,north-east region
jurong west,559,jurong west street 42,640559,1.354576,103.718901,11,hong kah,jurong west,west region
ang mo kio,130,ang mo kio avenue 3,560130,1.370398,103.841879,13,kebun bahru,ang mo kio,north-east region
bukit merah,45,lengkok bahru,150045,1.286743,103.812631,4,alexandra hill,bukit merah,central region
yishun,752,yishun street 72,760752,1.427238,103.83405,12,yishun west,yishun,north region
sengkang,324B,sengkang east way,542324,1.392501,103.892333,15,anchorvale,sengkang,north-east region
central area,9,selegie road,180009,1.303461,103.850709,20,bencoolen,rochor,central region
yishun,405,yishun avenue 6,760405,1.42684,103.849274,11,yishun east,yishun,north region
woodlands,575,woodlands drive 16,730575,1.431187,103.797238,12,woodlands south,woodlands,north region
bukit panjang,486,segar road,670486,1.389241,103.771621,15,fajar,bukit panjang,west region
hougang,168,hougang avenue 1,530168,1.352141,103.889541,15,tai seng,hougang,north-east region
pasir ris,429,pasir ris drive 6,510429,1.370074,103.956731,13,pasir ris drive,pasir ris,east region
ang mo kio,620,ang mo kio avenue 9,560620,1.382441,103.839546,12,yio chu kang west,ang mo kio,north-east region
bukit panjang,208,petir road,670208,1.373981,103.775028,12,bangkit,bukit panjang,west region
jurong west,728,jurong west avenue 5,640728,1.346099,103.697696,12,yunnan,jurong west,west region
bukit merah,48,lower delta road,160048,1.289443,103.826201,12,bukit ho swee,bukit merah,central region
queenstown,98,commonwealth crescent,140098,1.306822,103.801447,10,commonwealth,queenstown,central region
geylang,54,cassia crescent,390054,1.310048,103.884678,13,aljunied,geylang,central region
sengkang,308C,anchorvale road,543308,1.389227,103.886845,17,anchorvale,sengkang,north-east region
hougang,850,hougang central,530850,1.369716,103.89343,16,hougang central,hougang,north-east region
woodlands,183B,woodlands street 13,732183,1.435119,103.777143,24,woodlands west,woodlands,north region
woodlands,690A,woodlands drive 75,731690,1.443584,103.808407,15,woodlands east,woodlands,north region
kallang/whampoa,684,race course road,210684,1.314307,103.85666,14,lavender,kallang,central region
bedok,112,lengkong tiga,410112,1.323489,103.911408,18,kembangan,bedok,east region
sengkang,315B,anchorvale road,542315,1.392178,103.888323,16,anchorvale,sengkang,north-east region
bedok,551,bedok north avenue 1,460551,1.332269,103.927037,4,bedok north,bedok,east region
woodlands,309,woodlands avenue 1,730309,1.429748,103.776015,4,woodgrove,woodlands,north region
woodlands,171,woodlands street 11,730171,1.433975,103.776527,10,woodlands west,woodlands,north region
choa chu kang,218,choa chu kang central,680218,1.382838,103.745842,10,choa chu kang central,choa chu kang,west region
sengkang,318D,anchorvale link,544318,1.39314,103.88951,15,anchorvale,sengkang,north-east region
jurong west,140D,corporation drive,614140,1.327591,103.724632,19,taman jurong,jurong west,west region
tampines,267,tampines street 21,520267,1.350773,103.949259,11,tampines east,tampines,east region
bukit panjang,143,petir road,670143,1.376374,103.767324,12,jelebu,bukit panjang,west region
woodlands,406,woodlands street 41,730406,1.429404,103.772728,14,woodgrove,woodlands,north region
ang mo kio,473,ang mo kio avenue 10,560473,1.363054,103.856846,13,chong boon,ang mo kio,north-east region
jurong east,20,teban gardens road,600020,1.323784,103.738518,40,teban gardens,jurong east,west region
pasir ris,712,pasir ris street 72,510712,1.382231,103.938183,16,pasir ris west,pasir ris,east region
sembawang,350C,canberra road,753350,1.449961,103.820382,14,sembawang central,sembawang,north region
bedok,160,bedok south avenue 3,460160,1.31926,103.945203,13,bedok south,bedok,east region
sengkang,208B,compassvale lane,542208,1.384547,103.89881,16,sengkang town centre,sengkang,north-east region
kallang/whampoa,9,gloucester road,210009,1.313586,103.8517,14,kampong java,kallang,central region
yishun,424B,yishun avenue 11,762424,1.423246,103.848542,13,yishun east,yishun,north region
sengkang,303B,anchorvale link,542303,1.387424,103.889849,15,anchorvale,sengkang,north-east region
bedok,605,bedok reservoir road,470605,1.330237,103.913508,11,kaki bukit,bedok,east region
bukit panjang,429,bukit panjang ring road,670429,1.386834,103.770095,17,fajar,bukit panjang,west region
sengkang,184B,rivervale crescent,542184,1.392484,103.907225,17,rivervale,sengkang,north-east region
ang mo kio,353,ang mo kio street 32,560353,1.364068,103.851612,30,townsville,ang mo kio,north-east region
central area,5,tanjong pagar plaza,081005,1.276241,103.843006,24,chinatown,outram,central region
bukit batok,233,bukit batok east avenue 5,650233,1.348825,103.755128,12,bukit batok east,bukit batok,west region
geylang,60,circuit road,370060,1.325553,103.886533,10,macpherson,geylang,central region
central area,32,new market road,050032,1.284859,103.842579,9,pearl's hill,outram,central region
ang mo kio,550,ang mo kio avenue 10,560550,1.373608,103.858205,16,cheng san,ang mo kio,north-east region
hougang,922,hougang street 91,530922,1.376371,103.88352,16,trafalgar,hougang,north-east region
yishun,175,yishun avenue 7,760175,1.437603,103.832468,16,yishun west,yishun,north region
choa chu kang,272,choa chu kang avenue 2,680272,1.378721,103.742924,16,keat hong,choa chu kang,west region
geylang,29,balam road,370029,1.329998,103.887048,19,macpherson,geylang,central region
jurong east,266,toh guan road,600266,1.341341,103.744343,10,toh guan,jurong east,west region
pasir ris,266,pasir ris street 21,510266,1.366134,103.963883,8,pasir ris drive,pasir ris,east region
serangoon,212,serangoon avenue 4,550212,1.356801,103.873051,15,serangoon garden,serangoon,north-east region
hougang,373,hougang street 31,530373,1.362682,103.890391,18,lorong ah soo,hougang,north-east region
serangoon,5,lorong lew lian,530005,1.350032,103.876842,14,upper paya lebar,serangoon,north-east region
bedok,55,new upper changi road,461055,1.325093,103.94211,25,bedok south,bedok,east region
yishun,629,yishun street 61,760629,1.418397,103.837739,12,yishun south,yishun,north region
kallang/whampoa,10,saint george's road,320010,1.323746,103.863412,4,bendemeer,kallang,central region
sengkang,233,compassvale walk,540233,1.389941,103.900721,16,sengkang town centre,sengkang,north-east region
bukit merah,46,seng poh road,161046,1.284004,103.83153,4,tiong bahru,bukit merah,central region
hougang,222,hougang street 21,530222,1.356335,103.883723,9,lorong ah soo,hougang,north-east region
queenstown,18A,holland drive,272018,1.311059,103.791887,40,holland drive,queenstown,central region
ang mo kio,216,ang mo kio avenue 1,560216,1.366197,103.841505,10,shangri-la,ang mo kio,north-east region
bukit merah,64,telok blangah drive,100064,1.274506,103.810536,12,telok blangah drive,bukit merah,central region
bukit batok,204,bukit batok street 21,650204,1.347559,103.749887,13,bukit batok central,bukit batok,west region
choa chu kang,212,choa chu kang central,680212,1.38247,103.747348,12,choa chu kang central,choa chu kang,west region
serangoon,526,serangoon north avenue 4,550526,1.371779,103.872786,15,serangoon north,serangoon,north-east region
choa chu kang,166A,teck whye crescent,681166,1.383294,103.753026,24,teck whye,choa chu kang,west region
geylang,2,haig road,430002,1.312293,103.897693,13,geylang east,geylang,central region
bedok,423,bedok north avenue 1,460423,1.327976,103.927565,12,bedok north,bedok,east region
bishan,129,bishan street 12,570129,1.345692,103.850399,4,bishan east,bishan,central region
bedok,415,bedok north avenue 2,460415,1.32965,103.930261,25,bedok north,bedok,east region
jurong west,360,yung an road,610360,1.335803,103.720981,12,taman jurong,jurong west,west region
bukit batok,443D,bukit batok west avenue 8,654443,1.355593,103.737118,14,brickworks,bukit batok,west region
toa payoh,61,lorong 5 toa payoh,310061,1.336457,103.852111,10,boon teck,toa payoh,central region
jurong east,284,toh guan road,600284,1.339488,103.746226,21,toh guan,jurong east,west region
sembawang,468D,admiralty drive,754468,1.450831,103.814273,16,sembawang north,sembawang,north region
bedok,138,bedok reservoir road,470138,1.334301,103.913166,4,kaki bukit,bedok,east region
hougang,108,hougang avenue 1,530108,1.352774,103.890093,4,lorong ah soo,hougang,north-east region
bukit batok,535,bukit batok street 52,650535,1.354971,103.7504,9,guilin,bukit batok,west region
yishun,935,yishun central 1,760935,1.42518,103.836596,11,yishun central,yishun,north region
pasir ris,196,pasir ris street 12,510196,1.366139,103.960337,12,pasir ris drive,pasir ris,east region
jurong west,472,jurong west street 41,640472,1.348124,103.722494,15,hong kah,jurong west,west region
tampines,160,simei road,520160,1.34517,103.959676,11,simei,tampines,east region
bukit panjang,461,segar road,670461,1.386974,103.77128,16,fajar,bukit panjang,west region
toa payoh,95,lorong 4 toa payoh,310095,1.338891,103.848993,4,braddell,toa payoh,central region
bukit panjang,611,bukit panjang ring road,670611,1.383872,103.76186,21,senja,bukit panjang,west region
kallang/whampoa,11,jalan batu,431011,1.301696,103.882579,12,tanjong rhu,kallang,central region
choa chu kang,353,choa chu kang central,680353,1.382137,103.743398,14,choa chu kang central,choa chu kang,west region
queenstown,164,stirling road,140164,1.291518,103.802513,12,mei chin,queenstown,central region
sengkang,124,rivervale drive,540124,1.38762,103.902159,11,rivervale,sengkang,north-east region
choa chu kang,514,choa chu kang street 51,680514,1.390305,103.743088,14,choa chu kang north,choa chu kang,west region
choa chu kang,202,choa chu kang avenue 1,680202,1.381837,103.749465,11,choa chu kang central,choa chu kang,west region
jurong west,661B,jurong west street 64,642661,1.335993,103.705617,16,jurong west central,jurong west,west region
jurong west,656C,jurong west street 61,643656,1.33599,103.699974,16,jurong west central,jurong west,west region
sengkang,312A,anchorvale lane,541312,1.391734,103.885156,18,anchorvale,sengkang,north-east region
bukit batok,321,bukit batok street 33,650321,1.361317,103.747741,12,hong kah north,bukit batok,west region
pasir ris,725,pasir ris street 72,510725,1.381187,103.935844,15,pasir ris west,pasir ris,east region
toa payoh,142,potong pasir avenue 3,350142,1.333204,103.866993,18,potong pasir,toa payoh,central region
ang mo kio,107,ang mo kio avenue 4,560107,1.371384,103.837381,11,kebun bahru,ang mo kio,north-east region
toa payoh,253,kim keat avenue,310253,1.331122,103.85778,4,kim keat,toa payoh,central region
ang mo kio,222,ang mo kio avenue 1,560222,1.366018,103.839361,12,shangri-la,ang mo kio,north-east region
bukit panjang,236,bukit panjang ring road,670236,1.379025,103.771215,12,bangkit,bukit panjang,west region
choa chu kang,503,choa chu kang street 51,680503,1.388305,103.742323,14,choa chu kang north,choa chu kang,west region
ang mo kio,106,ang mo kio avenue 4,560106,1.371934,103.837486,11,kebun bahru,ang mo kio,north-east region
hougang,562,hougang street 51,530562,1.380932,103.889121,11,hougang west,hougang,north-east region
sembawang,490,admiralty link,750490,1.4553,103.817241,18,sembawang north,sembawang,north region
bukit panjang,518,jelapang road,670518,1.387033,103.766924,20,saujana,bukit panjang,west region
bedok,666,jalan damai,410666,1.333565,103.908103,15,kaki bukit,bedok,east region
punggol,323D,sumang walk,824323,1.412188,103.897456,22,punggol town centre,punggol,north-east region
bedok,402,bedok north avenue 3,460402,1.330555,103.933687,13,bedok north,bedok,east region
sengkang,235,compassvale walk,540235,1.3909,103.899536,15,sengkang town centre,sengkang,north-east region
bukit timah,12,toh yi drive,590012,1.338403,103.772686,12,anak bukit,bukit timah,central region
pasir ris,102,pasir ris street 12,510102,1.367484,103.958041,13,pasir ris drive,pasir ris,east region
yishun,297,yishun street 20,760297,1.435784,103.835379,13,northland,yishun,north region
woodlands,897A,woodlands drive 50,730897,1.436491,103.793972,11,midview,woodlands,north region
bukit batok,272,bukit batok east avenue 4,650272,1.34879,103.757865,10,bukit batok east,bukit batok,west region
choa chu kang,562,choa chu kang street 52,680562,1.396299,103.746023,12,choa chu kang north,choa chu kang,west region
geylang,317,ubi avenue 1,400317,1.328578,103.902801,4,kampong ubi,geylang,central region
pasir ris,484,pasir ris drive 4,510484,1.373603,103.960558,13,pasir ris drive,pasir ris,east region
geylang,111,aljunied crescent,380111,1.320397,103.884247,12,aljunied,geylang,central region
bukit merah,10B,boon tiong road,164010,1.286337,103.829205,30,tiong bahru,bukit merah,central region
bukit batok,173,bukit batok west avenue 8,650173,1.346105,103.740826,4,bukit batok west,bukit batok,west region
kallang/whampoa,63,jalan ma'mor,320063,1.328562,103.857482,2,balestier,novena,central region
bedok,618,bedok reservoir road,470618,1.33302,103.917038,9,kaki bukit,bedok,east region
yishun,239,yishun ring road,760239,1.433595,103.839685,4,northland,yishun,north region
yishun,335C,yishun street 31,763335,1.432488,103.844367,15,yishun east,yishun,north region
woodlands,412,woodlands street 41,730412,1.42814,103.772822,12,woodgrove,woodlands,north region
sengkang,259A,compassvale road,541259,1.393906,103.896732,15,sengkang town centre,sengkang,north-east region
bukit panjang,405,fajar road,670405,1.381254,103.767257,4,fajar,bukit panjang,west region
bedok,139,bedok reservoir road,470139,1.334625,103.913778,10,kaki bukit,bedok,east region
tampines,719,tampines street 72,520719,1.358812,103.935913,14,tampines west,tampines,east region
bedok,121,bedok reservoir road,470121,1.331305,103.909992,10,kaki bukit,bedok,east region
tampines,470,tampines street 44,520470,1.360815,103.95464,12,tampines east,tampines,east region
queenstown,58,strathmore avenue,142058,1.293085,103.810789,30,margaret drive,queenstown,central region
yishun,419,yishun avenue 11,760419,1.423789,103.847303,10,yishun east,yishun,north region
jurong east,219,jurong east street 21,600219,1.340777,103.738019,12,yuhua east,jurong east,west region
bishan,272,bishan street 24,570272,1.356295,103.842823,12,marymount,bishan,central region
tampines,729,tampines street 71,520729,1.356441,103.934139,14,tampines west,tampines,east region
pasir ris,180,pasir ris street 11,510180,1.364084,103.960249,13,pasir ris drive,pasir ris,east region
hougang,435,hougang avenue 8,530435,1.377528,103.893603,13,hougang east,hougang,north-east region
queenstown,28D,dover crescent,134028,1.306083,103.782472,35,dover,queenstown,central region
yishun,106,yishun ring road,760106,1.431479,103.827452,4,yishun west,yishun,north region
tampines,487C,tampines street 45,522487,1.360758,103.957884,11,tampines east,tampines,east region
bishan,141,bishan street 12,570141,1.345154,103.853367,13,bishan east,bishan,central region
choa chu kang,687C,choa chu kang drive,683687,1.403686,103.751205,20,yew tee,choa chu kang,west region
jurong west,348,kang ching road,610348,1.34061,103.719782,11,taman jurong,jurong west,west region
punggol,633A,punggol drive,821633,1.40137,103.913192,17,waterway east,punggol,north-east region
jurong east,278,toh guan road,600278,1.340902,103.746437,21,toh guan,jurong east,west region
hougang,709,hougang avenue 2,530709,1.367061,103.888077,10,kovan,hougang,north-east region
punggol,618A,punggol drive,821618,1.401126,103.912463,17,waterway east,punggol,north-east region
bukit merah,142,jalan bukit merah,160142,1.277008,103.828056,13,kampong tiong bahru,bukit merah,central region
central area,7,tanjong pagar plaza,081007,1.27712,103.843118,27,chinatown,outram,central region
choa chu kang,230,choa chu kang central,680230,1.380383,103.746191,11,choa chu kang central,choa chu kang,west region
choa chu kang,307,choa chu kang avenue 4,680307,1.385234,103.742705,14,choa chu kang central,choa chu kang,west region
tampines,264,tampines street 21,520264,1.352805,103.951146,10,tampines east,tampines,east region
tampines,824,tampines street 81,520824,1.349037,103.932715,4,tampines west,tampines,east region
tampines,863A,tampines street 83,521863,1.355464,103.936666,4,tampines west,tampines,east region
bedok,130,bedok north street 2,460130,1.327162,103.936825,16,bedok north,bedok,east region
toa payoh,128,potong pasir avenue 1,350128,1.334804,103.865788,4,potong pasir,toa payoh,central region
choa chu kang,6,teck whye avenue,680006,1.381587,103.753828,12,teck whye,choa chu kang,west region
tampines,149,tampines street 12,521149,1.351402,103.942727,11,tampines east,tampines,east region
pasir ris,564,pasir ris street 51,510564,1.368484,103.949822,13,pasir ris central,pasir ris,east region
sengkang,321B,anchorvale drive,542321,1.390562,103.892266,15,anchorvale,sengkang,north-east region
geylang,47,circuit road,370047,1.325775,103.885704,10,macpherson,geylang,central region
woodlands,851,woodlands street 83,730851,1.44046,103.792676,11,midview,woodlands,north region
yishun,458,yishun avenue 11,760458,1.420667,103.846208,13,yishun east,yishun,north region
choa chu kang,432,choa chu kang avenue 4,680432,1.384644,103.741834,12,peng siang,choa chu kang,west region
marine parade,63,marine drive,440063,1.302381,103.909239,14,marine parade,marine parade,central region
sembawang,335,sembawang close,750335,1.447163,103.815014,16,sembawang central,sembawang,north region
bukit panjang,403,fajar road,670403,1.38113,103.76775,12,fajar,bukit panjang,west region
bukit panjang,442,fajar road,670442,1.382251,103.771236,9,fajar,bukit panjang,west region
toa payoh,70,lorong 4 toa payoh,310070,1.334449,103.852333,4,boon teck,toa payoh,central region
hougang,656,hougang avenue 8,530656,1.373236,103.881702,4,hougang west,hougang,north-east region
pasir ris,252,pasir ris street 21,510252,1.368173,103.962564,10,pasir ris drive,pasir ris,east region
bukit merah,36,beo crescent,160036,1.28836,103.827057,10,bukit ho swee,bukit merah,central region
bukit merah,101,henderson crescent,150101,1.290718,103.821625,12,henderson hill,bukit merah,central region
geylang,414,eunos road 5,400414,1.318116,103.898221,4,geylang east,geylang,central region
bukit merah,11,cantonment close,080011,1.274426,103.839672,30,everton park,bukit merah,central region
kallang/whampoa,816,jellicoe road,200816,1.306953,103.861244,30,lavender,kallang,central region
yishun,424D,yishun avenue 11,764424,1.42283,103.849223,13,yishun east,yishun,north region
bukit merah,106,bukit purmei road,090106,1.272989,103.825627,13,telok blangah rise,bukit merah,central region
queenstown,168,stirling road,141168,1.290021,103.803188,12,mei chin,queenstown,central region
hougang,301,hougang avenue 5,530301,1.367788,103.89393,13,kangkar,hougang,north-east region
yishun,114,yishun ring road,760114,1.434138,103.82702,9,yishun west,yishun,north region
sengkang,264C,compassvale bow,543264,1.381456,103.896165,17,compassvale,sengkang,north-east region
yishun,336A,yishun street 31,761336,1.431283,103.844642,15,yishun east,yishun,north region
tampines,324,tampines street 32,520324,1.352388,103.959443,10,tampines east,tampines,east region
queenstown,52,strathmore avenue,141052,1.293313,103.808253,40,margaret drive,queenstown,central region
sengkang,322A,anchorvale drive,541322,1.391521,103.892314,15,anchorvale,sengkang,north-east region
serangoon,118,serangoon north avenue 1,550118,1.367595,103.870918,13,serangoon garden,serangoon,north-east region
choa chu kang,807C,choa chu kang avenue 1,683807,1.376156,103.745821,17,keat hong,choa chu kang,west region
pasir ris,147,pasir ris street 13,510147,1.363101,103.962012,10,pasir ris drive,pasir ris,east region
sembawang,360A,admiralty drive,751360,1.449203,103.815848,16,sembawang central,sembawang,north region
kallang/whampoa,13,saint george's road,320013,1.323235,103.862732,25,bendemeer,kallang,central region
jurong west,814,jurong west street 81,640814,1.345668,103.695792,12,yunnan,jurong west,west region
ang mo kio,209,ang mo kio avenue 3,560209,1.368971,103.843285,10,shangri-la,ang mo kio,north-east region
jurong west,429,jurong west avenue 1,640429,1.351925,103.724497,4,hong kah,jurong west,west region
choa chu kang,216,choa chu kang central,680216,1.383199,103.747183,4,choa chu kang central,choa chu kang,west region
toa payoh,21,joo seng road,360021,1.333961,103.880582,11,joo seng,toa payoh,central region
sengkang,430D,fernvale link,794430,1.394827,103.878003,25,fernvale,sengkang,north-east region
pasir ris,573,pasir ris street 53,510573,1.373889,103.945876,17,pasir ris central,pasir ris,east region
yishun,849,yishun ring road,760849,1.41696,103.835348,6,yishun south,yishun,north region
bedok,67,bedok south avenue 3,460067,1.318974,103.944076,22,bedok south,bedok,east region
bukit batok,534,bukit batok street 51,650534,1.355907,103.750412,12,guilin,bukit batok,west region
bukit panjang,654,senja road,670654,1.387847,103.764249,20,saujana,bukit panjang,west region
bedok,61,new upper changi road,461061,1.322755,103.940776,25,bedok south,bedok,east region
choa chu kang,606,choa chu kang street 62,680606,1.398436,103.74382,12,yew tee,choa chu kang,west region
tampines,218,tampines street 24,520218,1.354436,103.952286,12,tampines east,tampines,east region
bedok,88,bedok north street 4,460088,1.333133,103.939111,4,bedok north,bedok,east region
toa payoh,113,potong pasir avenue 1,350113,1.336056,103.8636,13,potong pasir,toa payoh,central region
yishun,612,yishun street 61,760612,1.420365,103.835413,12,yishun south,yishun,north region
geylang,23,eunos crescent,400023,1.324306,103.902161,16,geylang east,geylang,central region
clementi,429,clementi avenue 3,120429,1.312912,103.762861,12,clementi central,clementi,west region
sengkang,275B,compassvale link,542275,1.383339,103.894522,15,compassvale,sengkang,north-east region
bukit panjang,548A,segar road,671548,1.389039,103.768351,18,saujana,bukit panjang,west region
yishun,626,yishun street 61,760626,1.417494,103.835749,9,yishun south,yishun,north region
choa chu kang,429,choa chu kang avenue 4,680429,1.382743,103.740136,14,peng siang,choa chu kang,west region
toa payoh,125,potong pasir avenue 1,350125,1.335415,103.865169,4,potong pasir,toa payoh,central region
yishun,457,yishun street 41,760457,1.420404,103.845539,13,yishun east,yishun,north region
woodlands,709,woodlands drive 70,730709,1.44024,103.797933,12,woodlands east,woodlands,north region
sengkang,211D,compassvale lane,544211,1.385522,103.899866,16,sengkang town centre,sengkang,north-east region
jurong east,308,jurong east street 32,600308,1.347308,103.734584,13,yuhua west,jurong east,west region
tampines,289,tampines street 22,520289,1.349641,103.955337,12,tampines east,tampines,east region
marine parade,46,marine crescent,440046,1.305102,103.912665,12,marine parade,marine parade,central region
tampines,468,tampines street 44,520468,1.360334,103.955179,4,tampines east,tampines,east region
bukit merah,3,everton park,080003,1.277217,103.838704,12,everton park,bukit merah,central region
